account_id,account_name,Scope_3_emissions_amount,z_score,Primary activity,Year
15941,Rolls-Royce,120077646.0,2.643861636882385,Engines & motors,2013
4663,Deutsche Post AG,32350000.0,2.5452309344712454,Logistics - 3rd party,2013
3329,"Cisco Systems, Inc.",33536304.0,2.1678439602303685,Communications equipment,2013
5811,Ericsson,34138300.0,2.2147149716981342,Communications equipment,2013
16191,Samsung Electronics,40537152.0,2.712925367568765,Communications equipment,2013
10609,LEGRAND,1678575.0,3.252329586228363,Fabricated metal components,2013
12095,Mirvac Group,42553.0,2.711946005895192,Real estate owners & developers,2013
3564,The Coca-Cola Company,54756175.0,2.822461583358513,Non-alcoholic beverages,2013
5584,Endesa,36910956.27,2.645734834627192,0,2013
1452,Bank of America,4231128.0,4.348037850908183,Asset managers,2013
34772,Camargo Correa,36063500.0,3.5535208969699807,Transportation infrastructure & other construction,2013
19080,thyssenkrupp AG,3514000.0,3.8669131207682015,Commercial services,2013
5108,E.ON SE,149646437.0,2.073503218184554,CCGT generation,2013
7121,ENGIE,174907815.0,2.535913427627619,CCGT generation,2013
3649,Commonwealth Bank of Australia,39634361.0,9.906864398189382,Banks,2013
12291,"Mizuho Financial Group, Inc.",8658200.21,2.0497429739320294,Banks,2013
13161,NH Hotel Group,1112720049.0,2.82838004395551,Hotels & lodging,2013
904,ArcelorMittal,13078000.0,2.701969003553037,Iron & steel,2013
14709,Koninklijke Philips NV,306982393.0,3.464097872231642,Medical equipment,2013
14605,"PepsiCo, Inc.",14117818.0,2.1683376679296607,Other food processing,2013
42037,Mondelez International Inc,17372534.0,2.7926592735744986,Other food processing,2013
19569,United Continental Holdings,7213658.0,2.0097810009581942,Passenger airlines,2013
1581,Bayer AG,34387000.0,4.203648075021149,Pharmaceuticals,2013
14712,Philip Morris International,5002456.0,2.482400512950634,Tobacco products,2013
3588,Cognizant Technology Solutions Corp.,70930.0,2.1998658220333693,IT services,2013
10629,Legal and General Investment Management,2373021.0,7.026184097598336,Insurance,2013
2302,Sky plc,3221355.0,3.347611646160656,Marketing,2013
18574,Tesco,44825683.0,4.398313921378013,"Supermarkets, food & drugstores",2013
5194,Eaton Corporation,109402101.0,2.0065272093941853,Electrical equipment,2013
8338,"Hitachi, Ltd.",185587908.0,3.689341356389498,Electrical equipment,2013
